Prompt;QwenCoderMedium
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Idle time cannot be greater than the total operation time.
Driving time should be less than or equal to the total operation time.";"
# Idle time cannot be greater than the total operation time.
def r1(idle_time: float, total_operation_time: float) -> bool:
    return idle_time <= total_operation_time

# Driving time should be less than or equal to the total operation time.
def r2(driving_time: float, total_operation_time: float) -> bool:
    return driving_time <= total_operation_time"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Axle 1's load cannot exceed Axle 2's load.
The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.";"
# Axle 1's load cannot exceed Axle 2's load.
def r1(axle1_load: float, axle2_load: float) -> bool:
    return axle1_load <= axle2_load

# The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.
def r2(total_duration: float, pto_time: float, idle_time: float, driving_time: float) -> bool:
    return total_duration >= (pto_time + idle_time + driving_time)"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Total operation time shouldn’t be lower than idle time.";"
def check_operation_time(total_time: float, idle_time: float) -> bool:
    return total_time >= idle_time"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The total operation durationmust not be lower than the driving time.
Axle 1's load cannot exceed Axle 3's load.";"
# The total operation duration must not be lower than the driving time.
def r1(operation_duration: float, driving_time: float) -> bool:
    return operation_duration >= driving_time

# Axle 1's load cannot exceed Axle 3's load.
def r2(axle_1_load: float, axle_3_load: float) -> bool:
    return axle_1_load <= axle_3_load"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: PTO operation time should be less than or equal to the total operation time.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.";"
# PTO operation time should be less than or equal to the total operation time.
def r1(pto_time: float, total_time: float) -> bool:
    return pto_time <= total_time

# Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.
def r2(pto_time: float, idle_time: float, driving_time: float, total_time: float) -> bool:
    return total_time >= (pto_time + idle_time + driving_time)"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: PTO operation time cannot be greater than the total operation time.";"
# PTO operation time cannot be greater than the total operation time.
def r3(pto_time: float, total_time: float) -> bool:
    return pto_time <= total_time"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Idle time should be less than or equal to the total operation time.
The load supported by axle 1 cannot exceed that of axle 3.";"
# Idle time should be less than or equal to the total operation time.
def r1(idle_time: float, operation_time: float) -> bool:
    return idle_time <= operation_time

# The load supported by axle 1 cannot exceed that of axle 3.
def r2(load_axle1: float, load_axle3: float) -> bool:
    return load_axle1 <= load_axle3"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: PTO operation time cannot be greater than the total operation time.
The payload must not exceed the load carried by axle 3.";"
# PTO operation time cannot be greater than the total operation time.
def r1(pto_time: float, total_time: float) -> bool:
    return pto_time <= total_time

# The payload must not exceed the load carried by axle 3.
def r2(payload: float, axle_3_load: float) -> bool:
    return payload <= axle_3_load"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The total operation durationmust not be lower than the driving time.
PTO-engaged stops cannot exceed the total number of stops.";"
def r3(total_duration: float, driving_time: float) -> bool:
    return total_duration >= driving_time

def r4(pto_stops: int, total_stops: int) -> bool:
    return pto_stops <= total_stops"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The load supported by axle 1 cannot exceed that of axle 2.
The payload cannot exceed the capacity of axle 3.";"
# The load supported by axle 1 cannot exceed that of axle 2.
def r1(axle1_load: float, axle2_load: float) -> bool:
    return axle1_load <= axle2_load

# The payload cannot exceed the capacity of axle 3.
def r2(payload: float, axle3_capacity: float) -> bool:
    return payload <= axle3_capacity"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The weight on axle 1 cannot surpass the weight on axle 3.";"
def r3(axle1: float, axle3: float) -> bool:
    return axle1 <= axle3"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Total operation time should be at least the sum of PTO, idle, and driving times.";"
# Total operation time should be at least the sum of PTO, idle, and driving times.
def r3(pto: float, idle: float, driving: float) -> bool:
    return pto + idle + driving >= 0"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Stops with PTO engaged cannot outnumber the total stops.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.";"
# Stops with PTO engaged cannot outnumber the total stops.
def r1(pto_stops: int, total_stops: int) -> bool:
    return pto_stops <= total_stops

# Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.
def r2(pto_time: float, idle_time: float, driving_time: float) -> bool:
    return pto_time + idle_time + driving_time >= pto_time + idle_time + driving_time"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The load supported by axle 1 cannot exceed that of axle 3.
Payload must remain below or equal to the load carried by axle 3.";"
# The load supported by axle 1 cannot exceed that of axle 3.
def r1(axle1: float, axle3: float) -> bool:
    return axle1 <= axle3

# Payload must remain below or equal to the load carried by axle 3.
def r2(payload: float, axle3: float) -> bool:
    return payload <= axle3"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Idle time must always be less than or equal to the total operation time.
Payload must remain below or equal to the load carried by axle 3.";"
# Idle time must always be less than or equal to the total operation time.
def r3(idle_time: float, operation_time: float) -> bool:
    return idle_time <= operation_time

# Payload must remain below or equal to the load carried by axle 3.
def r4(payload: float, load_axle_3: float) -> bool:
    return payload <= load_axle_3"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The load on axle 1 must not surpass the load on axle 2.";"
# The load on axle 1 must not surpass the load on axle 2.
def r1(axle1: float, axle2: float) -> bool:
    return axle1 <= axle2"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Driving time must always be less than or equal to the total operation time.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.";"
# Driving time must always be less than or equal to the total operation time.
def r1(driving_time: float, total_operation_time: float) -> bool:
    return driving_time <= total_operation_time

# Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.
def r2(pto_operation: float, idle: float, driving_time: float) -> bool:
    return total_operation_time >= (pto_operation + idle + driving_time)"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The total operation duration must not be lower than the PTO operation time.
The number of stops where PTO is engaged must not exceed the overall stop count.";"
# The total operation duration must not be lower than the PTO operation time.
def r1(operation_duration: float, pto_operation_time: float) -> bool:
    return operation_duration >= pto_operation_time

# The number of stops where PTO is engaged must not exceed the overall stop count.
def r2(pto_stops: int, total_stops: int) -> bool:
    return pto_stops <= total_stops"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Total operation time shouldn’t be lower than idle time.
The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.";"
# Total operation time shouldn't be lower than idle time.
def r3(total_time: float, idle_time: float) -> bool:
    return total_time >= idle_time

# The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.
def r4(total_time: float, pto_time: float, idle_time: float, driving_time: float) -> bool:
    return total_time >= pto_time + idle_time + driving_time"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The total operation duration must not be lower than the idle time.";"
# The total operation duration must not be lower than the idle time.
def r1(total_duration: float, idle_time: float) -> bool:
    return total_duration >= idle_time"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The load carried by axle 1 must be smaller than or equal to the load on axle 3.";"
# The load carried by axle 1 must be smaller than or equal to the load on axle 3.
def r1(axle1_load: float, axle3_load: float) -> bool:
    return axle1_load <= axle3_load"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Driving time should be less than or equal to the total operation time.
The payload must not exceed the load carried by axle 3.";"
def r3(d: float, o: float) -> bool:
    return d <= o

def r4(p: float, a3: float) -> bool:
    return p <= a3"
