Prompt;Premises;No. of parameters;Parameters;Model;Model output;Syntax eval;Outlier;Outlier detection
"System Message:
You are an agent which task is to correct Python3 code implementing logical rules, generated by another large language model,
so that they throw no runtime errors during program execution and correspond to the logical assumptions expressed in natural language.
To perform this task you will receive a Python3 code with valid syntax, which not correspond to the logical premises and throw runtime errors,
and these logical premises expressed in natural language, which should be translated into rules in Python3 code.
Your task is to return a valid Python3 rules for a given premises, having corrected the runtime errors.
Improvements made should mainly include defining the correct number of arguments for each function according to corresponding premise
and using inside functions the proper variables, previously defined in the function declaration.
Do not make any corrections to the last function.
Please output only a valid Python code only with comments started with #.
Do not add any additional texts, tags and comments.
Be guided by the following examples:

Example 1
# If the parameter C's value is at least 20, the lowest possible value of parameter D is 40.
def r1(c: float, d: float) -> bool:
    if c >= 20 and d / c >= 0.4:
        return True
    else:
        return False

# Parameter W value should be at least the sum of parameter X, parameter Y and parameter Z.
def r2(x: float, y: float, z: float) -> bool:
    if x + y + z >= 0:
        return True
    else:
        return False

# To identify the day as abnormal, it is enough that even one or more conditions are violated.
def r3(arg1: float, arg2: float, arg3: float, arg4: float, arg5: float, arg6: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4, arg5, arg6)), r1(arg1, arg2), r2(arg3, arg4, arg5, arg6)

It is supposed to translate the following example text into rules:
If the parameter C's value is at least 20, the lowest possible value of parameter D is 40.
Parameter W value should be at least the sum of parameter X, parameter Y and parameter Z.

Code after execution returns the following error:
Traceback (most recent call last):
  File ""/home/obywatelfg/Doktorat/Badania/Logic-LLM/LLM-logic/New_val_Adapt_Task2_outputs_python_no_final_rule/Llama-8/2/python_code/2_output_python.py"", line 18, in <module>
    print(r3(2226.8, 2432.3, 0.3, 0.9, 2.7, 1.0))
  File ""/home/obywatelfg/Doktorat/Badania/Logic-LLM/LLM-logic/New_val_Adapt_Task2_outputs_python_no_final_rule/Llama-8/2/python_code/2_output_python.py"", line 16, in r3
    return not(r1(arg1, arg2) and r2(arg3, arg4, arg5, arg6)), r1(arg1, arg2), r2(arg3, arg4, arg5, arg6)
TypeError: r2() takes 3 positional arguments but 4 were given

Please correct the code.

The corrected code should be the following:
# If the parameter C's value is at least 20, the lowest possible value of parameter D is 40.
def r1(c: float, d: float) -> bool:
    if c >= 20 and d / c >= 0.4:
        return True
    else:
        return False

# This function lack of parameter W in a function definition and a body, where logical rule should check the proportion between param W and sum of params x, y, z.
# Parameter W value should be at least the sum of parameter X, parameter Y and parameter Z.
def r2(x: float, y: float, z: float, w: float) -> bool:
    if x + y + z <= w:
        return True
    else:
        return False

# To identify the day as abnormal, it is enough that even one or more conditions are violated.
def r3(arg1: float, arg2: float, arg3: float, arg4: float, arg5: float, arg6: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4, arg5, arg6)), r1(arg1, arg2), r2(arg3, arg4, arg5, arg6)


Example 2
# If the parameter C's value is at least 20, the lowest possible value of parameter D is 40.
def r1(c: float) -> bool:
    if c >= 40 and c >= 0.4:
        return True
    else:
        return False

# Parameter T's value shouldn't be lower than parameter P's value.
def r2(t: float, p: float) -> bool:
    if t >= p:
        return True
    else:
        return False

# To identify the day as abnormal, it is enough that even one or more conditions are violated.
def r3(arg1: float, arg2: float, arg3: float, arg4: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4)), r1(arg1, arg2), r2(arg3, arg4)

It is supposed to translate the following example text into rules:
If the parameter C's value is at least 20, the lowest possible value of parameter D is 40.
Parameter T's value shouldn't be lower than parameter P's value.

Code after execution returns the following error:
Traceback (most recent call last):
  File ""/home/obywatelfg/Doktorat/Badania/Logic-LLM/LLM-logic/New_val_Adapt_Task2_outputs_python_no_final_rule/Llama-8/4/python_code/121_output_python.py"", line 32, in <module>
    print(r5(227.70000000000002, 75.9, 9.5, 1.9, 7203.1, 6652.3, 10268.5, 8400.7))
  File ""/home/obywatelfg/Doktorat/Badania/Logic-LLM/LLM-logic/New_val_Adapt_Task2_outputs_python_no_final_rule/Llama-8/4/python_code/121_output_python.py"", line 30, in r5
    return not(r1(arg1, arg2) and r2(arg3, arg4) and r3(arg5, arg6) and r4(arg7, arg8)), r1(arg1, arg2), r2(arg3, arg4), r3(arg5, arg6), r4(arg7, arg8)
TypeError: r1() takes 1 positional argument but 2 were given

Please correct the code.

The corrected code should be the following:
# If the parameter C's value is at least 20, the lowest possible value of parameter D is 40.
def r1(c: float, d: float) -> bool:
    if d / c >= 2:
        return True
    else:
        return False

# Parameter T's value shouldn't be lower than parameter P's value.
def r2(t: float, p: float) -> bool:
    if t >= p:
        return True
    else:
        return False

# To identify the day as abnormal, it is enough that even one or more conditions are violated.
def r3(arg1: float, arg2: float, arg3: float, arg4: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4)), r1(arg1, arg2), r2(arg3, arg4)


The input for your task:
This is the Python3 code which not correspond to the given logical premises:
# Total operation time shouldn’t be lower than PTO operation time.
def r4(total_operation_time: float, pto_operation_time: float) -> bool:
    return total_operation_time >= pto_operation_time


def r2(arg1: float, arg2: float):
    return not(r1(arg1, arg2)), r1(arg1, arg2)

It is supposed to translate the following text into rules:
Total operation time shouldn’t be lower than PTO operation time.

Code after execution returns the following error:
Traceback (most recent call last):
  File ""/home/frank/Doktorat/ExKLoP/saved_outputs/Task2_syntax_outputs/QwenCoder/1/python_code/55_output_python.py"", line 9, in <module>
    print(r2(5.7, 4.0))
  File ""/home/frank/Doktorat/ExKLoP/saved_outputs/Task2_syntax_outputs/QwenCoder/1/python_code/55_output_python.py"", line 7, in r2
    return not(r1(arg1, arg2)), r1(arg1, arg2)
NameError: name 'r1' is not defined. Did you mean: 'r4'?


Please correct the code.   ";Total operation time shouldn’t be lower than PTO operation time.;1;[['total operation time', 'PTO operation time']];QwenCoder;"def r1(total_operation_time: float, pto_operation_time: float) -> bool:
    return total_operation_time >= pto_operation_time

def r2(arg1: float, arg2: float):
    return not(r1(arg1, arg2)), r1(arg1, arg2)";Correct syntax;['False, True', 'False, True', 'True, False'];['False, True', 'False, True', 'True, False']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5


Input text:
Textual context: PTO operation time should be less than or equal to the total operation time.
Driving time must always be less than or equal to the total operation time.
Stops with PTO engaged should never outnumber total stops.";"PTO operation time should be less than or equal to the total operation time.
Driving time must always be less than or equal to the total operation time.
Stops with PTO engaged should never outnumber total stops.";3;[['PTO operation time', 'total operation time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops']];QwenCoder;"# PTO operation time should be less than or equal to the total operation time.
def r1(pto_time: float, total_time: float) -> bool:
    return pto_time <= total_time

# Driving time must always be less than or equal to the total operation time.
def r2(driving_time: float, total_time: float) -> bool:
    return driving_time <= total_time

# Stops with PTO engaged should never outnumber total stops.
def r3(pto_stops: int, total_stops: int) -> bool:
    return pto_stops <= total_stops


def r4(arg1: float, arg2: float, arg3: float, arg4: float, arg5: float, arg6: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4) and r3(arg5, arg6)), r1(arg1, arg2), r2(arg3, arg4), r3(arg5, arg6)";Correct syntax;['False, True, True, True', 'False, True, True, True', 'True, False, False, False'];['False, True, True, True', 'False, True, True, True', 'True, False, False, False']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5


Input text:
Textual context: The total operation duration must not be lower than the idle time.
The number of stops where PTO is engaged must not exceed the overall stop count.
Payload must remain below or equal to the load carried by axle 3.";"The total operation duration must not be lower than the idle time.
The number of stops where PTO is engaged must not exceed the overall stop count.
Payload must remain below or equal to the load carried by axle 3.";3;[['total operation time', 'idle time'], ['stops with PTO engaged', 'stops'], ['payload', 'axle 3 load']];QwenCoder;"# The total operation duration must not be lower than the idle time.
def r1(operation_duration: float, idle_time: float) -> bool:
    return operation_duration >= idle_time

# The number of stops where PTO is engaged must not exceed the overall stop count.
def r2(pto_stops: int, overall_stops: int) -> bool:
    return pto_stops <= overall_stops

# Payload must remain below or equal to the load carried by axle 3.
def r3(payload: float, axle_3_load: float) -> bool:
    return payload <= axle_3_load


def r4(arg1: float, arg2: float, arg3: float, arg4: float, arg5: float, arg6: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4) and r3(arg5, arg6)), r1(arg1, arg2), r2(arg3, arg4), r3(arg5, arg6)";Correct syntax;['True, True, True, False', 'False, True, True, True', 'True, False, False, True'];['True, True, True, False', 'False, True, True, True', 'True, False, False, True']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5


Input text:
Textual context: Idle time must always be less than or equal to the total operation time.
The load on axle 1 must not surpass the load on axle 3.
Total operation time should be at least the sum of PTO, idle, and driving times.";"Idle time must always be less than or equal to the total operation time.
The load on axle 1 must not surpass the load on axle 3.
Total operation time should be at least the sum of PTO, idle, and driving times.";3;[['idle time', 'total operation time'], ['axle 1 load', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']];QwenCoder;"# Idle time must always be less than or equal to the total operation time.
def r1(idle_time: float, total_operation_time: float) -> bool:
    return idle_time <= total_operation_time

# The load on axle 1 must not surpass the load on axle 3.
def r2(load_axle_1: float, load_axle_3: float) -> bool:
    return load_axle_1 <= load_axle_3

# Total operation time should be at least the sum of PTO, idle, and driving times.
def r3(total_operation_time: float, pto_time: float, idle_time: float, driving_time: float) -> bool:
    return total_operation_time >= (pto_time + idle_time + driving_time)


def r4(arg1: float, arg2: float, arg3: float, arg4: float, arg5: float, arg6: float, arg7: float, arg8: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4) and r3(arg5, arg6, arg7, arg8)), r1(arg1, arg2), r2(arg3, arg4), r3(arg5, arg6, arg7, arg8)";Correct syntax;['True, True, False, True', 'False, True, True, True', 'True, False, True, False'];['True, True, False, True', 'False, True, True, True', 'True, False, True, False']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5


Input text:
Textual context: The load supported by axle 1 cannot exceed that of axle 2.
Axle 2's load must always be equal to or greater than the payload.";"The load supported by axle 1 cannot exceed that of axle 2.
Axle 2's load must always be equal to or greater than the payload.";2;[['axle 1 load', 'axle 2 load'], ['axle 2 load', 'payload']];QwenCoder;"# The load supported by axle 1 cannot exceed that of axle 2.
def r1(axle1_load: float, axle2_load: float) -> bool:
    return axle1_load <= axle2_load

# Axle 2's load must always be equal to or greater than the payload.
def r2(axle2_load: float, payload: float) -> bool:
    return axle2_load >= payload


def r3(arg1: float, arg2: float, arg3: float, arg4: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4)), r1(arg1, arg2), r2(arg3, arg4)";Correct syntax;['True, False, False', 'False, True, True', 'False, True, True'];['True, False, False', 'False, True, True', 'False, True, True']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5


Input text:
Textual context: PTO operation time cannot be greater than the total operation time.
The weight on axle 1 cannot surpass the weight on axle 3.";"PTO operation time cannot be greater than the total operation time.
The weight on axle 1 cannot surpass the weight on axle 3.";2;[['PTO operation time', 'total operation time'], ['axle 1 load', 'axle 3 load']];QwenCoder;"# PTO operation time cannot be greater than the total operation time.
def r1(pto_time: float, total_time: float) -> bool:
    return pto_time <= total_time

# The weight on axle 1 cannot surpass the weight on axle 3.
def r2(weight_axle_1: float, weight_axle_3: float) -> bool:
    return weight_axle_1 <= weight_axle_3


def r3(arg1: float, arg2: float, arg3: float, arg4: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4)), r1(arg1, arg2), r2(arg3, arg4)";Correct syntax;['True, True, False', 'False, True, True', 'True, False, True'];['True, True, False', 'False, True, True', 'True, False, True']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5


Input text:
Textual context: Total operation time shouldn’t be lower than idle time.
Driving time should be less than or equal to the total operation time.
Axle 2's load must always be equal to or greater than the payload.";"Total operation time shouldn’t be lower than idle time.
Driving time should be less than or equal to the total operation time.
Axle 2's load must always be equal to or greater than the payload.";3;[['total operation time', 'idle time'], ['driving time', 'total operation time'], ['axle 2 load', 'payload']];QwenCoder;"# Total operation time shouldn’t be lower than idle time.
def r1(total_operation_time: float, idle_time: float) -> bool:
    return total_operation_time >= idle_time

# Driving time should be less than or equal to the total operation time.
def r2(driving_time: float, total_operation_time: float) -> bool:
    return driving_time <= total_operation_time

# Axle 2's load must always be equal to or greater than the payload.
def r3(axle_2_load: float, payload: float) -> bool:
    return axle_2_load >= payload


def r4(arg1: float, arg2: float, arg3: float, arg4: float, arg5: float, arg6: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4) and r3(arg5, arg6)), r1(arg1, arg2), r2(arg3, arg4), r3(arg5, arg6)";Correct syntax;['True, True, True, False', 'False, True, True, True', 'True, False, False, True'];['True, True, True, False', 'False, True, True, True', 'True, False, False, True']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5


Input text:
Textual context: Idle time cannot be greater than the total operation time.
Payload must remain below or equal to the load carried by axle 3.";"Idle time cannot be greater than the total operation time.
Payload must remain below or equal to the load carried by axle 3.";2;[['idle time', 'total operation time'], ['payload', 'axle 3 load']];QwenCoder;"# Idle time cannot be greater than the total operation time.
def r1(idle_time: float, total_operation_time: float) -> bool:
    return idle_time <= total_operation_time

# Payload must remain below or equal to the load carried by axle 3.
def r2(payload: float, load_axle_3: float) -> bool:
    return payload <= load_axle_3


def r3(arg1: float, arg2: float, arg3: float, arg4: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4)), r1(arg1, arg2), r2(arg3, arg4)";Correct syntax;['True, True, False', 'False, True, True', 'True, False, True'];['True, True, False', 'False, True, True', 'True, False, True']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5


Input text:
Textual context: The total operation durationmust not be lower than the driving time.
Stops with PTO engaged should never outnumber total stops.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.";"The total operation durationmust not be lower than the driving time.
Stops with PTO engaged should never outnumber total stops.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.";3;[['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']];QwenCoder;"# The total operation duration must not be lower than the driving time.
def r1(total_operation_duration: float, driving_time: float) -> bool:
    return total_operation_duration >= driving_time

# Stops with PTO engaged should never outnumber total stops.
def r2(pto_stops: int, total_stops: int) -> bool:
    return pto_stops <= total_stops

# The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
def r3(total_operation_time: float, pto_operation: float, idle_time: float, driving_time: float) -> bool:
    return total_operation_time >= (pto_operation + idle_time + driving_time)


def r4(arg1: float, arg2: float, arg3: float, arg4: float, arg5: float, arg6: float, arg7: float, arg8: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4) and r3(arg5, arg6, arg7, arg8)), r1(arg1, arg2), r2(arg3, arg4), r3(arg5, arg6, arg7, arg8)";Correct syntax;['False, True, True, True', 'False, True, True, True', 'True, False, False, False'];['False, True, True, True', 'False, True, True, True', 'True, False, False, False']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5


Input text:
Textual context: The weight on axle 1 cannot surpass the weight on axle 2.
Axle 1's load cannot exceed Axle 3's load.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.";"The weight on axle 1 cannot surpass the weight on axle 2.
Axle 1's load cannot exceed Axle 3's load.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.";3;[['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']];QwenCoder;"# The weight on axle 1 cannot surpass the weight on axle 2.
def r1(axle1_weight: float, axle2_weight: float) -> bool:
    return axle1_weight <= axle2_weight

# Axle 1's load cannot exceed Axle 3's load.
def r2(axle1_load: float, axle3_load: float) -> bool:
    return axle1_load <= axle3_load

# The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
def r3(total_operation_time: float, pto_operation_time: float, idle_time: float, driving_time: float) -> bool:
    return total_operation_time >= (pto_operation_time + idle_time + driving_time)


def r4(arg1: float, arg2: float, arg3: float, arg4: float, arg5: float, arg6: float, arg7: float, arg8: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4) and r3(arg5, arg6, arg7, arg8)), r1(arg1, arg2), r2(arg3, arg4), r3(arg5, arg6, arg7, arg8)";Correct syntax;['True, False, False, True', 'False, True, True, True', 'True, True, True, False'];['True, False, False, True', 'False, True, True, True', 'True, True, True, False']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5


Input text:
Textual context: The load carried by axle 1 must be smaller than or equal to the load on axle 3.";The load carried by axle 1 must be smaller than or equal to the load on axle 3.;1;[['axle 1 load', 'axle 3 load']];QwenCoder;"# The load carried by axle 1 must be smaller than or equal to the load on axle 3.
def r1(axle1_load: float, axle3_load: float) -> bool:
    return axle1_load <= axle3_load


def r2(arg1: float, arg2: float):
    return not(r1(arg1, arg2)), r1(arg1, arg2)";Correct syntax;['True, False', 'False, True', 'False, True'];['True, False', 'False, True', 'False, True']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.
A vehicle operates with C param between 0.2 and 5 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10

# A vehicle operates with C param between 0.2 and 5 in a typical day.
def r3(c: float) -> bool:
    return 0.2 <= c <= 5


Input text:
Textual context: Idle time must always be less than or equal to the total operation time.
The load supported by axle 1 cannot exceed that of axle 2.
The weight on axle 1 cannot surpass the weight on axle 3.";"Idle time must always be less than or equal to the total operation time.
The load supported by axle 1 cannot exceed that of axle 2.
The weight on axle 1 cannot surpass the weight on axle 3.";3;[['idle time', 'total operation time'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load']];QwenCoder;"# Idle time must always be less than or equal to the total operation time.
def r1(idle_time: float, total_operation_time: float) -> bool:
    return idle_time <= total_operation_time

# The load supported by axle 1 cannot exceed that of axle 2.
def r2(load_axle_1: float, load_axle_2: float) -> bool:
    return load_axle_1 <= load_axle_2

# The weight on axle 1 cannot surpass the weight on axle 3.
def r3(weight_axle_1: float, weight_axle_3: float) -> bool:
    return weight_axle_1 <= weight_axle_3


def r4(arg1: float, arg2: float, arg3: float, arg4: float, arg5: float, arg6: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4) and r3(arg5, arg6)), r1(arg1, arg2), r2(arg3, arg4), r3(arg5, arg6)";Correct syntax;['True, True, False, False', 'False, True, True, True', 'True, False, True, True'];['True, True, False, False', 'False, True, True, True', 'True, False, True, True']
